operator,operator_status
4Four,Not Active. 0 out of 1 of your validators are active.
5ElementsNodes,Active. 2 out of 3 of your validators are active.
AlxVoy,Not Active. 0 out of 2 of your validators are active.
Andra,Not Active. 0 out of 2 of your validators are active.
ArksDi,Not Active. 0 out of 4 of your validators are active.
AxeKate,Not Active. 0 out of 2 of your validators are active.
BalNodex,Active. 3 out of 3 of your validators are active.
Bamboleo,Active. 1 out of 1 of your validators are active.
BulanSabit,Not Active. 0 out of 3 of your validators are active.
Bumblebeeshka,Not Active. 0 out of 2 of your validators are active.
Conquer,Not Active. 0 out of 2 of your validators are active.
CryptologSpace,Not Active. 0 out of 6 of your validators are active.
Demigohu,Not Active. Your OP not working to archive consensus for 1 Validators. 1 out of 1 of your validators are active
DiBugNodes,Not Active. 0 out of 1 of your validators are active.
Dimar,Not Active. 0 out of 1 of your validators are active.
ElectrroNode,Active. 8 out of 12 of your validators are active.
Gasnode,Active. 1 out of 1 of your validators are active.
InfStones,Active. 14 out of 17 of your validators are active.
InfinitiSafeStake,Not Active. Your OP not working to archive consensus for 1 Validators. 1 out of 1 of your validators are active
JahaND,Active. 2 out of 2 of your validators are active.
JambulMerah01,Active. 8 out of 8 of your validators are active.
JambulMerah02,Active. 8 out of 8 of your validators are active.
JambulMerah03,Active. 8 out of 8 of your validators are active.
JambulMerah04,Active. 8 out of 8 of your validators are active.
Kioko,Not Active. 0 out of 1 of your validators are active.
LokiFin,Not Active. 0 out of 2 of your validators are active.
Luka,Not Active. 0 out of 10 of your validators are active.
MDNodes,Not Active. 0 out of 11 of your validators are active.
Nonsens,Not Active. 0 out of 2 of your validators are active.
OneYummii,Active. Your OP not working to archive consensus for 3 Validators. 21 out of 27 of your validators are active
Ov1k,Not Active. 0 out of 2 of your validators are active.
ParaStateDAO1,Active. Your OP not working to archive consensus for 4 Validators. 116 out of 193 of your validators are active
ParaStateDAO2,Active. Your OP not working to archive consensus for 1 Validators. 130 out of 200 of your validators are active
ParaStateDAO3,Active. Your OP not working to archive consensus for 2 Validators. 128 out of 199 of your validators are active
ParaStateDAO4,Active. Your OP not working to archive consensus for 3 Validators. 122 out of 200 of your validators are active
PinkyWood,Not Active. 0 out of 2 of your validators are active.
Polkirerara,Active. 4 out of 5 of your validators are active.
QuasiMode,Active. 1 out of 1 of your validators are active.
REVO,Not Active. Your OP not working to archive consensus for 2 Validators. 2 out of 2 of your validators are active
Rado,Not Active. 0 out of 3 of your validators are active.
RealStake,Active. 1 out of 1 of your validators are active.
RenderSoft,Not Active. Your OP not working to archive consensus for 2 Validators. 3 out of 3 of your validators are active
RepublikID,Not Active. Your OP not working to archive consensus for 1 Validators. 1 out of 1 of your validators are active
Resty,Active. 1 out of 1 of your validators are active.
SANJI,Not Active. 0 out of 4 of your validators are active.
STAKECRAFT,Active. 1 out of 1 of your validators are active.
SafeStakeDemo,Not Active. 0 out of 1 of your validators are active.
SaraBarbora12,Active. Your OP not working to archive consensus for 2 Validators. 6 out of 7 of your validators are active
SerGo,Not Active. 0 out of 1 of your validators are active.
Sirius,Not Active. 0 out of 1 of your validators are active.
Stakely,Not Active. Your OP not working to archive consensus for 3 Validators. 5 out of 13 of your validators are active
TroxKor,Not Active. 0 out of 2 of your validators are active.
UnderSonOp,Active. 1 out of 1 of your validators are active.
ValidatriumNode,Not Active. Your OP not working to archive consensus for 2 Validators. 2 out of 2 of your validators are active
Wookie,Not Active. 0 out of 1 of your validators are active.
agosabe,Not Active. 0 out of 1 of your validators are active.
cryptobtcbuyer,Not Active. 0 out of 1 of your validators are active.
cyberG,Not Active. 0 out of 1 of your validators are active.
genesisarc,Not Active. 0 out of 2 of your validators are active.
geonodes,Not Active. 0 out of 2 of your validators are active.
guraa,Not Active. Your OP not working to archive consensus for 1 Validators. 1 out of 5 of your validators are active
hidayatgp1,Not Active. 0 out of 1 of your validators are active.
kjnodes,Active. 6 out of 9 of your validators are active.
konsortech,Not Active. 0 out of 3 of your validators are active.
landeros,Active. Your OP not working to archive consensus for 1 Validators. 2 out of 2 of your validators are active
missyou,Not Active. 0 out of 2 of your validators are active.
openbitlab,Not Active. 0 out of 1 of your validators are active.
pinrock,Not Active. 0 out of 5 of your validators are active.
pinrockets,Not Active. 0 out of 3 of your validators are active.
soulles,Not Active. 0 out of 2 of your validators are active.
uraartillei,Not Active. 0 out of 2 of your validators are active.
yukii,Not Active. 0 out of 4 of your validators are active.
eclipse,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Collatorsio,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
QuasiMode,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
TengoNode,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
100500,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Fajar,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
UnderSonOp,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
igoyu,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
AlwaysBeDream,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Forbole,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
StakeTake,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Ikuto,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
StanKurkula,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Gasnode,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Bamboleo,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
PopGore,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Blockonaut,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
lux8net,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
cryptech,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
