validator,status
0x831e766b7fc4aaab4db49d155c94356a2f5a97e71cce55f392281567f89485f0b17b5afb3381801ad688d579966d05b1,VA is slashed
0x83523cfbd7555fecb58751749adf02576aed1509cdd010354bdfdfc4460d55caf1a7441e856aca191f1e98045179d182,VA is slashed
0x83bdebc0a603b46da6a43d88a6cff8092314ae67f38226adb581bf432b7034c162f27f5260078666d2dc0c8b08280c58,VA is slashed
0x87545fb57930b12267710711c02fae93fb76042f2137afab75559205a10f36233b32b62c2309aab836f54a53ec663b72,VA is slashed
0x8b9f0fc2a18d1422b00cb81805b06ad87b236745e3cd9fe615830ea7e0064055a2683e1bedd059815467b579d32e6dc9,VA is slashed
0x8e1f0fb32faeb4e592bc4402e4e0f7f8295e0182e6da1e72e8156b7889b6ea71d48d3b5be6abca60604a779f83fe8ef0,VA is slashed
0x902dfc379e322c33f79ca27c68bb7c921a86b0c832d6be914693c3a487454d12cc357f3457d95b4f92d53bdc78bb67c4,VA is slashed
0x914552e91b30eefe4b4173ea16e116b6ee5e90222e5199f4556f1f118a83663e3ecf8d42f79ccecf3d3a25b9d6034693,VA is slashed
0x931d062f10e08e52d73f1786a25d72e8c071a618f3caa00d381daedcfe2d45f5b8afdbbe301f0d80346734fbfd04c45d,VA is slashed
0x939ff3eee1dad897def0fa02cd7e27a1a0846267c269e633aced63f48eeb815bf3d39ab35e6f22415eff5613a996a5f8,VA is slashed
0x93a210e6d2d99206dc9dbf133528cf3c48634ace336b95f4816d086047a6e9e79da468f65b2644d92310a9d4c1d12a21,VA is slashed
0x969d23c05c1e682da78e7311f035f3c74083148a1fce776a715d10b7bb7961fd41d7b48b9142ddd0ff18fb7d8e6a3f8a,VA is slashed
0x97d5860c9772b0269cd74cb295070c31af8e4ff303c9010e9a53606e613b2029f10f7744a7c9eec6d79c18ca32fb6b57,VA is slashed
0xa13690aca5544fc29027835e155499b41f599f91a00798586b0ba0156441bb47786ad8395a69f28d096ee5fb75959a54,VA is slashed
0xa172c58926784313d85571900c745f44539581491eadd07a5f37f64dcac98dd0b01cba17858c535a5fd4238375c062b1,VA is slashed
0xa2cf3110f3d046703cd824e34477c1b54707348c6e953518a72da9f6eb7f20c9492afdd434bf7f77d36a556b96dbdb1f,VA is slashed
0xa53dd7808f059e2bbfcdc9afa123d4148252bb3ceb8b93029236a97b36b0d4cc42b22b171c19666d900ac6eccad97699,VA is slashed
0xaa0d5984edfc0a5e9f93f0b34c24cc2bb1df2138b85668cca12daf3a9bac4f399235e21d5a5ae4391d7256ff8d7bb830,VA is slashed
0xaa973066b3c03dcb289c7fb3c5eb391cc16247f6e8565b49829f41ce28d7e56f0e8ec3317f952739e42939302b5ff881,VA is slashed
0xad30e5340c95ec8b6b1b465fd0079f385e6c3cac7360dac9441e10bdfa1e31fa8c2d4198a198469bdb6806e3768f6d9d,VA is slashed
0xb0dfb5f1e4756bbba6fb522df805c20dd27d0352203182f405ec5a98324f063f5c0ac696bbcdd1270e17ebc5e7178653,VA is slashed
0xb2bd458728e46ecb10021ef54d68b8beb6b6d87dcab2e8ae9bef0f8b1f34d739c4eeb8a4bad0710c83f40fcc53c00663,VA is slashed
0xb4009adf9e04f6f6a4527d87bf331cdb4f3727f96b49fec755479e8fa36ebd7c17081d7bf3219ed3dce33acaf34dc7c5,VA is slashed
0xb5f619176ca8fecbaebcf0cd5afd5a45a743cbc237094c8d797891c065065b5662412fc7a1bc767e337c147699db606c,VA is slashed
0x829c673f418dc99123fa5f3778bf579ad4b4760d89f0883eeb803aa19bbc0efd11b93e60f8d875f171c02058622bee2b,Please check for a new committee set up
0x83bf3f9648525259ba2fe133858a60803c4409bcfccf9e4e21dbb8bad5e54357d7d2b94b0bab2f980c9a81fe00c0ce31,Please check for a new committee set up
0x8a2d2b3aa74714fe6f6b60f86716b858e42068f16a229bc6d468f0893c9a1b908de6d84227b99aff75255824c437d86e,Please check for a new committee set up
0x8bf6386eef1ee252a3248c56c246bc86f38347c861898074fd7922f41372b8f9eab228aa61d61a6ceedc53c1d0e8414b,Please check for a new committee set up
0x90fd01fcd6dd9eb11608796cf7e1ff344df2b56c95c22c13d2beeb64b8c8400e969a58cd31baac4b5f80215f9865ecfc,Please check for a new committee set up
0x93b9c97e89063de339bcbe8224533604d91a849662e2d26a0532fc1403c8b11bf5a9eb06f9f717de54a22e30ec1a9958,Please check for a new committee set up
0x9684cf7846c8d5684931986401a2608df3f1e2e38e5062ff53205ccf622c144c4ddb6cf63488a3535bd6d56544aed35b,Please check for a new committee set up
0x99a30820e490347fc52b63bb5054ac63cb5488fc6ba3737868c891d431a48df4917ec0e7e24ca2ca73f7574e777a78ba,Please check for a new committee set up
0x99feb4212b00bde9e38c4537aa46d5c69e0c22a96c5faa5f736f99c2fadea867a17e66d5cb6ff60411d3e778ec27ec9b,Please check for a new committee set up
0xa0934100d13341d28afa7483469e2fae3a31a09aadf29ac7adb408a6ab65104880e4875efb921193015a33f6f7c61f13,Please check for a new committee set up
0xa1781eae309e1b4f05c8867d622898db3d707222ea6f961b6fe70cb1b50f23c1698debf43ff038ffb712a62978a0c59c,Please check for a new committee set up
0xa58046c570a46ab23bbfd8275101d096ae87f16b19fcacdde3e6e7765b64d3ace5a2161ff000eb0aac9c174e2ab3e640,Please check for a new committee set up
0xa6b9cec5f95d2d09d47a0e546cce0637ad429448abaab04d782c8f0fefc5ccbc74b660078ea7290db11195dcd7f80f7e,Please check for a new committee set up
0xa82805a66faa364eec0c63c7ea1d9cddc2a4756fda3d6856fa3497499917ffb86b520744a311cfd7cdc27185b2ccc0fa,Please check for a new committee set up
0xaa7a56bf30cf72da97d4561f9b01181bbe8f483b977b4849e7cd2f4974ae0ca90b7d2ee2a5967739c2a8303a516a9116,Please check for a new committee set up
0xb2bd458728e46ecb10021ef54d68b8beb6b6d87dcab2e8ae9bef0f8b1f34d739c4eeb8a4bad0710c83f40fcc53c00663,Please check for a new committee set up
