operator,operator_status
4Four,Not Active. 0 out of 1 of your validators are active.
5ElementsNodes,Active. 2 out of 2 of your validators are active.
AlxVoy,Not Active. 0 out of 2 of your validators are active.
BulanSabit,Not Active. 0 out of 3 of your validators are active.
CryptologSpace,Not Active. 0 out of 4 of your validators are active.
Demigohu,Not Active. Your OP not working to archive consensus for 1 Validators. 1 out of 1 of your validators are active
DiBugNodes,Not Active. 0 out of 1 of your validators are active.
Dimar,Not Active. 0 out of 1 of your validators are active.
ElectrroNode,Active. 6 out of 6 of your validators are active.
InfStones,Active. 10 out of 11 of your validators are active.
InfinitiSafeStake,Not Active. Your OP not working to archive consensus for 1 Validators. 1 out of 1 of your validators are active
KonsorTech,Not Active. Your OP not working to archive consensus for 2 Validators. 1 out of 3 of your validators are active
MDNodes,Not Active. 0 out of 9 of your validators are active.
OneYummii,Active. Your OP not working to archive consensus for 2 Validators. 19 out of 20 of your validators are active
ParaStateDAO1,Active. Your OP not working to archive consensus for 2 Validators. 83 out of 117 of your validators are active
ParaStateDAO2,Active. Your OP not working to archive consensus for 1 Validators. 96 out of 129 of your validators are active
ParaStateDAO3,Active. Your OP not working to archive consensus for 2 Validators. 96 out of 130 of your validators are active
ParaStateDAO4,Active. Your OP not working to archive consensus for 1 Validators. 92 out of 126 of your validators are active
Polkirerara,Not Active. Your OP not working to archive consensus for 4 Validators. 4 out of 4 of your validators are active
REVO,Not Active. Your OP not working to archive consensus for 2 Validators. 2 out of 2 of your validators are active
RealStake,Active. 1 out of 1 of your validators are active.
RenderSoft,Not Active. Your OP not working to archive consensus for 2 Validators. 3 out of 3 of your validators are active
RepublikID,Not Active. Your OP not working to archive consensus for 1 Validators. 1 out of 1 of your validators are active
Resty,Active. 1 out of 1 of your validators are active.
SANJI,Not Active. 0 out of 2 of your validators are active.
STAKECRAFT,Active. 1 out of 1 of your validators are active.
SaraBarbora12,Active. Your OP not working to archive consensus for 2 Validators. 6 out of 7 of your validators are active
SerGo,Not Active. 0 out of 1 of your validators are active.
Sirius,Not Active. 0 out of 1 of your validators are active.
Stakely,Not Active. Your OP not working to archive consensus for 1 Validators. 3 out of 7 of your validators are active
ValidatriumNode,Not Active. Your OP not working to archive consensus for 2 Validators. 2 out of 2 of your validators are active
cryptech,Not Active. 0 out of 1 of your validators are active.
cryptobtcbuyer,Not Active. 0 out of 1 of your validators are active.
cyberG,Not Active. 0 out of 1 of your validators are active.
guraa,Not Active. Your OP not working to archive consensus for 1 Validators. 1 out of 5 of your validators are active
ikbalnodex,Not Active. Your OP not working to archive consensus for 1 Validators. 1 out of 1 of your validators are active
jambulmerah,Not Active. 0 out of 1 of your validators are active.
kjnodes,Active. 6 out of 9 of your validators are active.
landeros,Not Active. Your OP not working to archive consensus for 1 Validators. 1 out of 1 of your validators are active
pinrock,Not Active. 0 out of 3 of your validators are active.
yukii,Not Active. 0 out of 4 of your validators are active.
QualiP,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
ou812,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
openbitlab,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
ksalabsafestake,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Dwentzart,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
arya,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
doxe,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
CsQrl,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Axl,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
hidayatgp1,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
rendydev,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
alsaba,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
lux8net,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
geonodes,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Blockonaut,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
PopGore,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
StanKurkula,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Ikuto,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
StakeTake,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Forbole,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
AlwaysBeDream,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
igoyu,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
yangyangyang,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Fajar,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
100500,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
TengoNode,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
JahaND,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
agosabe,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Collatorsio,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
eclipse,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
